"Date","Holiday"
2012-01-02,1
2012-01-16,1
2012-02-20,1
2012-05-28,1
2012-07-04,1
2012-09-03,1
2012-10-08,1
2012-11-12,1
2012-11-22,1
2012-12-25,1
2013-01-01,1
2013-01-21,1
2013-02-18,1
2013-05-27,1
2013-07-04,1
2013-09-02,1
2013-10-14,1
2013-11-11,1
2013-11-28,1
2013-12-25,1
2014-01-01,1
2014-01-20,1
2014-02-17,1
2014-05-26,1
2014-07-04,1
2014-09-01,1
2014-10-13,1
2014-11-11,1
2014-11-27,1
2014-12-25,1
2015-01-01,1
2015-01-19,1
2015-02-16,1
2015-05-25,1
2015-07-03,1
2015-09-07,1
2015-10-12,1
2015-11-11,1
2015-11-26,1
2015-12-25,1
2016-01-01,1
2016-01-18,1
2016-02-15,1
2016-05-30,1
2016-07-04,1
2016-09-05,1
2016-10-10,1
2016-11-11,1
2016-11-24,1
2016-12-25,1
2017-01-02,1
2017-01-16,1
2017-02-20,1
2017-05-29,1
2017-07-04,1
2017-09-04,1
2017-10-09,1
2017-11-10,1
2017-11-23,1
2017-12-25,1
2018-01-01,1
2018-01-15,1
2018-02-19,1
2018-05-28,1
2018-07-04,1
2018-09-03,1
2018-10-08,1
2018-11-12,1
2018-11-22,1
2018-12-25,1
2019-01-01,1
2019-01-21,1
2019-02-18,1
2019-05-27,1
2019-07-04,1
2019-09-02,1
2019-10-14,1
2019-11-11,1
2019-11-28,1
2019-12-25,1
2020-01-01,1
2020-01-20,1
2020-02-17,1
2020-05-25,1
2020-07-03,1
2020-09-07,1
2020-10-12,1
2020-11-11,1
2020-11-26,1
2020-12-25,1
2015-09-11,1
2016-09-11,1
2017-09-11,1
2018-09-11,1
2016-11-08,1
2016-11-09,1
2017-01-20,1
2017-01-21,1
2015-12-31,1
2016-12-31,1
2017-12-31,1
2018-12-31,1
2016-03-01,1
2016-03-05,1
2016-03-15,1
2016-04-26,1
2016-06-07,1
2016-07-18,1
2016-07-19,1
2016-07-20,1
2016-07-21,1
